도착 시군구 코드,총 이동 시간(분),총 이동인구,평균 이동 시간(분),이동인구(합)
종로,29075578,20258827.46,60.15130726931941,41.91128910533045
중,28733286,21692705.49,58.45052819157701,44.128266213436994
용산,26487237,15506848.68,58.49473956193934,34.24551511216526
성동,27279447,18069555.27,58.87985072532899,39.00125676926962
광진,26804906,18517366.67,61.80717385389429,42.697635316796024
동대문,28277328,17639877.61,60.74535666564985,37.893985491057045
중랑,25059916,14845861.77,65.21502292682673,38.63433603285224
성북,27954290,19154699.51,60.97539109874098,41.78125411166273
강북,23924081,13050239.21,66.48680773249738,36.26758934725094
도봉,22060398,11425008.61,68.36554141370944,35.406292274461315
노원,28628896,21162862.01,67.93371046736779,50.21750543395726
은평,25717696,17855780.78,69.19720818602048,48.04357979647956
서대문,26741640,17641266.21,61.38655317507868,40.496264487738365
마포,30225617,25196011.04,61.9291102879107,51.62397665899014
양천,22624816,15790623.83,62.972305876720796,43.950500804382074
강서,30486485,24764699.1,70.96019114210434,57.642190685895706
구로,25722714,16314364.44,65.30712691654416,41.42036758041297
금천,19966105,8908425.34,67.40933246002592,30.076522458405357
영등포,30748266,27319166.72,61.30807098977743,54.47088992437248
동작,26048952,16918301.75,59.79302746228641,38.834440677421426
관악,27501846,20207723.99,64.36688534335673,47.295307126457224
서초,32412912,32114881.69,64.03296779278968,63.44419732867633
강남,37279755,50031784.36,66.01025750898174,88.58993223634235
송파,33877900,37466057.7,71.78661863643588,79.38985580335859
강동,27092372,23386329.6,72.59769819258544,62.66685316933961
